000001.SZ,2009/1/5,9.71,9.57,9.74,9.51,340827
000001.SZ,2009/1/6,10.30,9.80,10.43,9.73,635330
000001.SZ,2009/1/7,9.99,10.20,10.40,9.99,611960
000001.SZ,2009/1/8,9.60,9.75,9.76,9.50,392572
000001.SZ,2009/1/9,9.85,9.60,9.93,9.60,604457
000001.SZ,2009/1/12,9.86,9.78,10.08,9.67,415480
000001.SZ,2009/1/13,9.47,8.88,9.63,8.88,1730708
000001.SZ,2009/1/14,10.20,9.30,10.25,9.30,765325
000001.SZ,2009/1/15,10.30,10.01,10.60,9.97,895014
000001.SZ,2009/1/16,10.62,10.34,10.94,10.34,664370
000001.SZ,2009/1/19,11.11,10.65,11.35,10.65,936335
000001.SZ,2009/1/20,11.36,11.07,11.40,11.02,472975
000001.SZ,2009/1/21,11.79,11.15,12.20,11.00,824456
000001.SZ,2009/1/22,11.79,11.80,12.00,11.40,469410
000001.SZ,2009/1/23,11.64,11.58,11.93,11.58,345713
000001.SZ,2009/2/2,11.66,11.76,11.99,11.51,329749
000001.SZ,2009/2/3,11.95,11.66,12.06,11.60,368640
000001.SZ,2009/2/4,13.04,12.02,13.15,12.02,540952
000001.SZ,2009/2/5,12.80,13.07,13.20,12.63,373428
000001.SZ,2009/2/6,13.19,12.82,13.44,12.82,324698
